Name;URL;Author;Price;Number of Ratings;Average Rating
The Power of your Subconscious Mind;https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1;Joseph Murphy;98.00;2,885;4.5 out of 5 stars
A Brief History of Time: From Big Bang to Black Holes;https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211?_encoding=UTF8&psc=1;Stephen Hawking;214.00;525;4.5 out of 5 stars
The Subtle Art of Not Giving a F*ck;https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1;Mark Manson;346.00;250;4.3 out of 5 stars
Think and Grow Rich;https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1;Napoleon Hill;75.00;2,409;4.5 out of 5 stars
Railway Assistant Loco Pilot and Technician 2018;https://www.amazon.in/Railway-Assistant-Loco-Pilot-Technician/dp/9312147560?_encoding=UTF8&psc=1;Arihant Experts;160.00;58;4.0 out of 5 stars
India 2018;https://www.amazon.in/India-2018-Publication-Division/dp/8123027389?_encoding=UTF8&psc=1;Publication Division;230.00;41;3.4 out of 5 stars
Indian Polity 5th Edition;https://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1;M. Laxmikanth;403.00;1,937;4.5 out of 5 stars
A Century is not Enough: My Roller-coaster Ride to Success;https://www.amazon.in/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1;Sourav Ganguly;394.00;108;4.6 out of 5 stars
Manorama Yearbook 2018;https://www.amazon.in/Manorama-Yearbook-2018-Mammen-Mathew/dp/9386025426?_encoding=UTF8&psc=1;Mammen Mathew;195.00;140;4.1 out of 5 stars
Word Power Made Easy;https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1;Norman Lewis;109.00;4,748;4.4 out of 5 stars
Sapiens;https://www.amazon.in/Sapiens-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1;Yuval Noah Harari;279.00;894;4.6 out of 5 stars
RRB Group D Guide 2018;https://www.amazon.in/RRB-Group-D-Guide-2018/dp/9312147889?_encoding=UTF8&psc=1;Arihant Experts;153.00;40;4.1 out of 5 stars
Mathematics for Class 10 by R D Sharma (2018-19 Session);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647920?_encoding=UTF8&psc=1;R.D. Sharma;455.00;20;4.8 out of 5 stars
General Knowledge 2019;https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1;Manohar Pandey;25.00;41;4.1 out of 5 stars
The Alchemist;https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1;Paulo Coelho;210.00;2,973;4.6 out of 5 stars
Will You Still Love Me?;https://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1;RAVINDER SINGH;109.00;75;4.8 out of 5 stars
Quantitative Aptitude for Competitive Examinations;https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1;R S Aggarwal;575.00;583;4.3 out of 5 stars
A Brief History of Modern India;https://www.amazon.in/Brief-History-Modern-India/dp/8179306542?_encoding=UTF8&psc=1;Rajiv Ahir;265.00;137;4.2 out of 5 stars
Diary of a Wimpy Kid: The Getaway (book 12);https://www.amazon.in/Diary-Wimpy-Kid-Getaway-book/dp/0141385294?_encoding=UTF8&psc=1;Jeff Kinney;213.00;295;4.7 out of 5 stars
Immortal Talks;https://www.amazon.in/Immortal-Talks-Shunya/dp/8193305205?_encoding=UTF8&psc=1;Shunya;249.00;532;4.8 out of 5 stars
Indian Economy;https://www.amazon.in/Indian-Economy-Ramesh-Singh/dp/9352606140?_encoding=UTF8&psc=1;Ramesh Singh;477.00;339;3.9 out of 5 stars
How to Win Friends and Influence People;https://www.amazon.in/How-Win-Friends-Influence-People/dp/0091906350?_encoding=UTF8&psc=1;Dale Carnegie;169.00;1,830;4.5 out of 5 stars
Exam Warriors;https://www.amazon.in/Exam-Warriors-Narendra-Modi/dp/0143441507?_encoding=UTF8&psc=1;Narendra Modi;57.00;300;4.4 out of 5 stars
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World);https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1;Robert T Kiyosaki;280.00;2,505;4.5 out of 5 stars
Indian Art and Culture;https://www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548?_encoding=UTF8&psc=1;Nitin Singhania;309.00;127;4.5 out of 5 stars
Harry Potter and the Philosopher's Stone;https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1;J.K. Rowling;220.00;771;4.7 out of 5 stars
1984;https://www.amazon.in/1984-George-Orwell/dp/8192910903?_encoding=UTF8&psc=1;George Orwell;165.00;475;4.4 out of 5 stars
15 Years' Solved Papers JEE Main;https://www.amazon.in/Years-Solved-Papers-JEE-Main/dp/9311126276?_encoding=UTF8&psc=1;Vikas Jain;305.00;40;4.3 out of 5 stars
The Monk Who Sold His Ferrari;https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1;Robin Sharma;169.00;2,447;4.5 out of 5 stars
Mathematics for Class 9 by R D Sharma (2018-19 Session);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647912?_encoding=UTF8&psc=1;R.D. Sharma;355.00;11;4.8 out of 5 stars
RRB Group D Solved Papers and Practice Sets 2018;https://www.amazon.in/Group-Solved-Papers-Practice-Sets/dp/9312148559?_encoding=UTF8&psc=1;Arihant Experts;120.00;11;4.4 out of 5 stars
Wings of Fire: An Autobiography of Abdul Kalam;https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461?_encoding=UTF8&psc=1;Arun Tiwari;199.00;1,839;4.6 out of 5 stars
Concepts of Physics 2;https://www.amazon.in/Concepts-Physics-2-H-C-Verma/dp/8177092324?_encoding=UTF8&psc=1;H.C. Verma;282.00;430;4.6 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1;Ranjeet Shahi;249.00;74;3.9 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Physics;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Physics/dp/9311128740?_encoding=UTF8&psc=1;DC Pandey;249.00;77;4.2 out of 5 stars
Attitude Is Everything: Change Your Attitude ... Change Your Life!;https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1;Jeff Keller;121.00;216;4.5 out of 5 stars
Pathfinder for NDA & NA National Defence Academy Naval Academy Entrance Examination;https://www.amazon.in/Pathfinder-National-Defence-Entrance-Examination/dp/9312146734?_encoding=UTF8&psc=1;Arihant Experts;417.00;20;4.2 out of 5 stars
Why I Am a Hindu;https://www.amazon.in/Why-Hindu-Dr-Shashi-Tharoor/dp/9386021102?_encoding=UTF8&psc=1;Dr. Shashi Tharoor;398.00;107;3.5 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Mathematics/dp/9311128767?_encoding=UTF8&psc=1;Amit M Agarwal;249.00;75;4.3 out of 5 stars
Catalyst;https://www.amazon.in/Catalyst-Chandramouli-Venkatesan/dp/0143442473?_encoding=UTF8&psc=1;Chandramouli;200.00;30;4.3 out of 5 stars
Mathematics Textbook for Class 8- 852;https://www.amazon.in/Mathematics-Textbook-Class-8-852/dp/8174508147?_encoding=UTF8&psc=1;NCERT;Not available;24;3.7 out of 5 stars
Harappa - Curse of the Blood River;https://www.amazon.in/Harappa-Curse-Blood-Vineet-Bajpai/dp/9352685482?_encoding=UTF8&psc=1;Vineet Bajpai;130.00;493;4.1 out of 5 stars
The 7 Habits of Highly Effective People;https://www.amazon.in/Habits-Highly-Effective-People/dp/1471131823?_encoding=UTF8&psc=1;R. Stephen Covey;296.00;841;4.0 out of 5 stars
Imperfect;https://www.amazon.in/Imperfect-Sanjay-Manjrekar/dp/9352774515?_encoding=UTF8&psc=1;Sanjay Manjrekar;494.00;43;4.3 out of 5 stars
Origin: Number 5 of the Robert Langdon Series;https://www.amazon.in/Origin-Number-5-Robert-Langdon/dp/0593078756?_encoding=UTF8&psc=1;Dan Brown;400.00;816;4.0 out of 5 stars
High School English Grammar and Composition Book (Regular Edition);https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;D;284.00;662;4.3 out of 5 stars
Certificate Physical and Human Geography;https://www.amazon.in/Certificate-Physical-Human-Geography-Cheng/dp/0195628160?_encoding=UTF8&psc=1;Goh Cheng Leong;260.00;657;4.2 out of 5 stars
Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi;https://www.amazon.in/Keepers-Kalachakra-latest-thriller-bestselling/dp/9386850648?_encoding=UTF8&psc=1;Ashwin Sanghi;219.00;195;4.2 out of 5 stars
Sita - Warrior of Mithila (Book 2- Ram Chandra Series): An adventure thriller that follows Lady Sita’s journey, set in mythological times;https://www.amazon.in/Sita-Warrior-adventure-thriller-mythological/dp/9386224585?_encoding=UTF8&psc=1;Amish Tripathi;217.00;1,517;4.2 out of 5 stars
Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future;https://www.amazon.in/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638?_encoding=UTF8&psc=1;Ashlee Vance;240.00;539;4.6 out of 5 stars
The Immortals of Meluha (Shiva Trilogy);https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745?_encoding=UTF8&psc=1;Amish;150.00;2,183;4.6 out of 5 stars
Zero to One: Note on Start Ups, or How to Build the Future;https://www.amazon.in/Zero-One-Start-Build-Future/dp/0753555190?_encoding=UTF8&psc=1;Peter Thiel;240.00;795;4.3 out of 5 stars
Harry Potter and the Chamber of Secrets (Harry Potter 2);https://www.amazon.in/Harry-Potter-Chamber-Secrets/dp/1408855666?_encoding=UTF8&psc=1;J.K. Rowling;258.00;380;4.6 out of 5 stars
RRB Group D Guide Hindi 2018;https://www.amazon.in/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1;Arihant Experts;215.00;15;3.9 out of 5 stars
The Intelligent Investor (English) Paperback – 2013;https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1;Benjamin Graham;398.00;717;4.3 out of 5 stars
English Course Communicative: Literature Reader - Class 10;https://www.amazon.in/English-Course-Communicative-Literature-Reader/dp/B00KILPUNS?_encoding=UTF8&psc=1;CBSE;Not available;53;3.4 out of 5 stars
Environment;https://www.amazon.in/Environment-Shankar/dp/B00Q6Q5WHS?_encoding=UTF8&psc=1;Shankar;399.00;394;4.2 out of 5 stars
Pralay: The Great Deluge (Harappa);https://www.amazon.in/Pralay-Deluge-Harappa-Vineet-Bajpai/dp/8193642406?_encoding=UTF8&psc=1;Vineet Bajpai;162.00;159;4.2 out of 5 stars
Objective General English;https://www.amazon.in/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1;S.P. Bakshi;188.00;1,414;4.2 out of 5 stars
This Is Not Your Story;https://www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399?_encoding=UTF8&psc=1;Savi Sharma;95.00;1,879;4.5 out of 5 stars
12 Years' Solved Papers CBSE AIPMT & NEET;https://www.amazon.in/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1;Arihant Experts;244.00;26;4.0 out of 5 stars
Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear;https://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1;Lakhmir Singh;1,122.00;13;3.6 out of 5 stars
The Secret;https://www.amazon.in/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1;Rhonda Byrne;416.00;1,216;4.5 out of 5 stars
Moments : Supplementary Reader in English for Class - 9 - 960;https://www.amazon.in/Moments-Supplementary-Reader-English-Class/dp/8174505032?_encoding=UTF8&psc=1;NCERT;Not available;4;4.3 out of 5 stars
Science Textbook for Class 10- 1064;https://www.amazon.in/Science-Textbook-Class-10-1064/dp/8174506365?_encoding=UTF8&psc=1;NCERT;165.00;48;3.2 out of 5 stars
Study Guide for B.Arch 2018;https://www.amazon.in/Study-Guide-B-Arch-2018-Mishra/dp/9312146033?_encoding=UTF8&psc=1;PK Mishra;189.00;4;4.4 out of 5 stars
Principles and Practices of Banking;https://www.amazon.in/Principles-Practices-Banking-IIBF/dp/9350597292?_encoding=UTF8&psc=1;IIBF;488.00;191;4.5 out of 5 stars
Legal and Regulatory Aspects of Banking - JAIIB (3rd Edition);https://www.amazon.in/Legal-Regulatory-Aspects-Banking-JAIIB/dp/9350597284?_encoding=UTF8&psc=1;IIBF;394.00;189;4.4 out of 5 stars
Mathematics Textbook for Class - 10 - 1062;https://www.amazon.in/Mathematics-Textbook-Class-10-1062/dp/8174506349?_encoding=UTF8&psc=1;NCERT;140.00;32;3.7 out of 5 stars
The Secret Of The Nagas (Shiva Trilogy-2);https://www.amazon.in/Secret-Nagas-Shiva-Trilogy-2/dp/9381626340?_encoding=UTF8&psc=1;Amish Tripathi;150.00;1,480;4.6 out of 5 stars
The Fault in our Stars;https://www.amazon.in/Fault-our-Stars-John-Green/dp/0141345659?_encoding=UTF8&psc=1;John Green;240.00;1,375;4.4 out of 5 stars
Man's Search for Meaning;https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1;Viktor E Frankl;225.00;459;4.2 out of 5 stars
Pregnancy Notes: Before, During & After;https://www.amazon.in/Pregnancy-Notes-Before-During-After/dp/9386224895?_encoding=UTF8&psc=1;Rujuta Diwekar;114.00;140;3.9 out of 5 stars
Handbook of Chemistry;https://www.amazon.in/Handbook-Chemistry-R-P-Singh/dp/9352036042?_encoding=UTF8&psc=1;R P Singh;138.00;236;4.3 out of 5 stars
Accounting and Finance for Bankers;https://www.amazon.in/Accounting-Finance-Bankers-Med/dp/9350598485?_encoding=UTF8&psc=1;Med;301.00;191;4.5 out of 5 stars
Beehive for Class - 9 - 959;https://www.amazon.in/Beehive-Textbook-English-class-IX/dp/8174505024?_encoding=UTF8&psc=1;Paperback;Not available;1;4.0 out of 5 stars
Science Textbook For Class 8- 854;https://www.amazon.in/Science-Textbook-Class-VIII-PB/dp/8174508120?_encoding=UTF8&psc=1;NCERT;55.00;23;3.8 out of 5 stars
Inner Engineering: A Yogi’s Guide to Joy;https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1;Sadhguru;173.00;832;4.7 out of 5 stars
23 Year's Chapterwise Solved Questions General Studies Paper I;https://www.amazon.in/Chapterwise-Solved-Questions-General-Studies/dp/9312142054?_encoding=UTF8&psc=1;Arihant Experts;197.00;15;3.9 out of 5 stars
Don't Lose Your Mind, Lose Your Weight;https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1;Rujuta Diwekar;130.00;820;4.5 out of 5 stars
Animal Farm;https://www.amazon.in/Animal-Farm-George-Orwell/dp/0143416316?_encoding=UTF8&psc=1;George Orwell;90.00;748;4.6 out of 5 stars
Quantitative Aptitude for Competitive Examinations (Old Edition);https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Old/dp/8121924987?_encoding=UTF8&psc=1;R.S. Aggarwal;299.00;1,925;3.8 out of 5 stars
The Oath of the Vayuputras (Shiva Trilogy);https://www.amazon.in/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1;Amish Tripathi;253.00;1,412;4.4 out of 5 stars
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover;https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1;Amish Tripathi;219.00;4,380;4.1 out of 5 stars
The Power of Habit: Why We Do What We Do, and How to Change;https://www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1;Charles Duhigg;318.00;400;4.4 out of 5 stars
23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017);https://www.amazon.in/General-Studies-Prelims-Topic-wise-1995-2017/dp/9386629283?_encoding=UTF8&psc=1;Disha Experts;230.00;142;4.1 out of 5 stars
Trueman's UGC NET/SET General Paper I;https://www.amazon.in/Truemans-UGC-NET-General-Paper/dp/8189301225?_encoding=UTF8&psc=1;M. Gagan;265.00;297;4.2 out of 5 stars
The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition #2);https://www.amazon.in/Fortune-Geronimo-Stilton-Kingdom-Fantasy/dp/9352751183?_encoding=UTF8&psc=1;Geronimo Stilton;560.00;152;4.7 out of 5 stars
To Kill a Mockingbird;https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1;Harper Lee;230.00;1,049;4.3 out of 5 stars
CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude;https://www.amazon.in/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1;KVS Madaan;337.00;177;4.3 out of 5 stars
History of Modern India;https://www.amazon.in/History-Modern-India-Bipan-Chandra/dp/8125036849?_encoding=UTF8&psc=1;Bipan Chandra;135.00;602;4.0 out of 5 stars
Handbook of Physics;https://www.amazon.in/Handbook-Physics-Nipendra-Bhatnagar/dp/9352036034?_encoding=UTF8&psc=1;Nipendra Bhatnagar;109.00;293;4.4 out of 5 stars
Black Holes: The Reith Lectures;https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X?_encoding=UTF8&psc=1;Stephen Hawking;80.00;101;4.3 out of 5 stars
The Theory of Everything;https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1;Stephen Hawking;199.00;370;4.5 out of 5 stars
Everyone Has A Story;https://www.amazon.in/Everyone-Has-Story-Savi-Sharma/dp/9386036754?_encoding=UTF8&psc=1;Savi Sharma;87.00;2,830;4.1 out of 5 stars
Who Will Cry When You Die?;https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1;Robin Sharma;149.00;2,423;4.4 out of 5 stars
Concepts of Physics 1;https://www.amazon.in/Concepts-Physics-1-H-C-Verma/dp/8177091875?_encoding=UTF8&psc=1;H.C. Verma;291.00;639;4.6 out of 5 stars
How to Win Friends and Influence People;https://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997?_encoding=UTF8&psc=1;Dale Carnegie;99.00;1,830;4.5 out of 5 stars
Life is What You Make It;https://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1;Preeti Shenoy;81.00;2,560;3.9 out of 5 stars
Objective NCERT at your Fingertips - Biology;https://www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/938656193X?_encoding=UTF8&psc=1;MTG Editorial Board;612.00;179;4.7 out of 5 stars
